step,strain,p,p_over_p_eq
332,0.015,1.44669e+07,2.43169
333,0.015,1.44603e+07,2.43057
334,0.015,1.44536e+07,2.42945
335,0.015,1.4447e+07,2.42834
336,0.015,1.44405e+07,2.42724
337,0.015,1.44339e+07,2.42614
338,0.015,1.44274e+07,2.42504
339,0.015,1.44208e+07,2.42394
340,0.015,1.44143e+07,2.42285
341,0.015,1.44079e+07,2.42176
342,0.015,1.44014e+07,2.42068
343,0.015,1.4395e+07,2.4196
344,0.015,1.43886e+07,2.41852
345,0.015,1.43822e+07,2.41745
346,0.015,1.43758e+07,2.41638
347,0.015,1.43695e+07,2.41531
348,0.015,1.43632e+07,2.41425
349,0.015,1.43569e+07,2.41319
350,0.015,1.43506e+07,2.41214
351,0.015,1.43443e+07,2.41108
352,0.015,1.43381e+07,2.41003
353,0.015,1.43319e+07,2.40899
354,0.015,1.43257e+07,2.40795
355,0.015,1.43195e+07,2.40691
356,0.015,1.43133e+07,2.40587
357,0.015,1.43072e+07,2.40484
358,0.015,1.43011e+07,2.40381
359,0.015,1.4295e+07,2.40279
360,0.015,1.42889e+07,2.40176
361,0.015,1.42828e+07,2.40074
362,0.015,1.42768e+07,2.39973
363,0.015,1.42708e+07,2.39872
364,0.015,1.42648e+07,2.39771
365,0.015,1.42588e+07,2.3967
366,0.015,1.42528e+07,2.3957
367,0.015,1.42469e+07,2.3947
368,0.015,1.42409e+07,2.3937
369,0.015,1.4235e+07,2.39271
370,0.015,1.42291e+07,2.39172
371,0.015,1.42232e+07,2.39073
372,0.015,1.42174e+07,2.38975
373,0.015,1.42116e+07,2.38876
374,0.015,1.42057e+07,2.38779
375,0.015,1.41999e+07,2.38681
376,0.015,1.41941e+07,2.38584
377,0.015,1.41884e+07,2.38487
378,0.015,1.41826e+07,2.3839
379,0.015,1.41769e+07,2.38294
380,0.015,1.41712e+07,2.38198
381,0.015,1.41655e+07,2.38102
382,0.015,1.41598e+07,2.38006
383,0.015,1.41541e+07,2.37911
384,0.015,1.41485e+07,2.37816
385,0.015,1.41429e+07,2.37722
386,0.015,1.41372e+07,2.37627
387,0.015,1.41316e+07,2.37533
